city,year,avg_temperature,avg_max_temperature,avg_min_temperature,total_rainfall,rainy_days,avg_wind_speed
Mumbai,2015,27.388219178082196,30.73013698630137,24.046301369863013,1324.2,131,17.125479452054794
Mumbai,2016,26.9655737704918,30.36639344262295,23.56475409836066,2638.3,142,17.131147540983605
Mumbai,2017,26.866849315068492,30.357808219178082,23.375890410958906,2453.5,156,19.71178082191781
Mumbai,2018,27.083013698630136,30.572602739726026,23.593424657534246,1361.4,135,19.89698630136986
Mumbai,2019,26.725068493150683,29.95095890410959,23.499178082191783,2604.6,160,19.324383561643835
Mumbai,2020,27.125546448087434,30.35273224043716,23.898360655737704,2773.6,162,19.130054644808745
Mumbai,2021,27.172602739726027,30.38849315068493,23.956712328767125,2280.9,172,19.112054794520546
Mumbai,2022,26.887945205479454,30.365753424657534,23.41013698630137,2651.6,150,19.236712328767123
Mumbai,2023,27.514520547945203,31.376438356164382,23.652602739726028,2048.1,157,19.45123287671233
Mumbai,2024,27.566530054644808,31.514754098360655,23.61830601092896,2523.7,166,19.077868852459016
Pune,2000,24.836612021857924,30.141256830601094,19.531967213114754,1559.0,165,13.069672131147541
Pune,2001,25.032739726027398,30.25260273972603,19.812876712328766,1452.9,159,13.404657534246574
Pune,2002,25.42178082191781,30.684109589041096,20.15945205479452,1430.2,163,13.835068493150686
Pune,2003,25.619999999999997,31.033150684931506,20.206849315068492,1313.5,142,13.443013698630136
Pune,2004,25.185382513661203,30.50409836065574,19.866666666666667,1815.0,158,13.774863387978144
Pune,2005,25.085753424657533,30.475616438356166,19.695890410958903,2205.8,151,13.355890410958903
Pune,2006,25.176027397260274,30.333698630136983,20.01835616438356,2443.4,164,13.70794520547945
Pune,2007,25.608356164383558,30.75917808219178,20.457534246575342,1786.5,166,13.432876712328767
Pune,2008,25.216666666666665,30.3655737704918,20.06775956284153,1779.0,158,13.43224043715847
Pune,2009,25.743972602739724,30.886575342465754,20.601369863013698,1854.3,150,12.980547945205478
Pune,2010,25.556849315068494,30.51945205479452,20.594246575342464,2201.7,192,12.637534246575342
Pune,2011,25.16082191780822,30.304657534246576,20.01698630136986,1958.0,164,13.061369863013697
Pune,2012,25.51243169398907,31.107650273224042,19.917213114754098,1199.4,149,13.490983606557377
Pune,2013,25.154520547945204,30.32383561643836,19.985205479452055,2077.1,162,13.555890410958902
Pune,2014,25.450136986301366,30.781917808219177,20.11835616438356,1750.6,172,13.167945205479452
